,FIPS,STNAME,CTYNAME,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,NHWA_MALE,NHWA_FEMALE,NHWhite_Alone,Not_NHWhite_Alone,MinorityMinority,MinorityPCT,Black,BlackPCT,Hispanic,HispanicPCT,locationID,slug,name,level,city,county,state,country,lat,long,population,aggregate,tz,cases,deaths,recovered,active,tested,hospitalized,hospitalized_current,discharged,icu,icu_current
334,37079,North Carolina,Greene County,21429,11623,9806,6777,5864,5328,4851,10179,11250,Yes,52.50%,7953,37%,3091,14.42%,iso1:us#iso2:us-al#fips:01063,greene-county-alabama-us,"Greene County, Alabama, United States",county,0.0,Greene County,Alabama,United States,32.85,-87.95,8111,0.0,America/Chicago,346.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
335,37079,North Carolina,Greene County,21429,11623,9806,6777,5864,5328,4851,10179,11250,Yes,52.50%,7953,37%,3091,14.42%,iso1:us#iso2:us-ar#fips:05055,greene-county-arkansas-us,"Greene County, Arkansas, United States",county,0.0,Greene County,Arkansas,United States,36.12,-90.56,45325,0.0,America/Chicago,1595.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
336,37079,North Carolina,Greene County,21429,11623,9806,6777,5864,5328,4851,10179,11250,Yes,52.50%,7953,37%,3091,14.42%,iso1:us#iso2:us-ga#fips:13133,greene-county-georgia-us,"Greene County, Georgia, United States",county,0.0,Greene County,Georgia,United States,33.58,-83.17,18324,0.0,America/New_York,582.0,25.0,0.0,0.0,0.0,61.0,0.0,0.0,0.0,0.0
337,37079,North Carolina,Greene County,21429,11623,9806,6777,5864,5328,4851,10179,11250,Yes,52.50%,7953,37%,3091,14.42%,iso1:us#iso2:us-ia#fips:19073,greene-county-iowa-us,"Greene County, Iowa, United States",county,0.0,Greene County,Iowa,United States,42.04,-94.4,8888,0.0,America/Chicago,205.0,0.0,128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
338,37079,North Carolina,Greene County,21429,11623,9806,6777,5864,5328,4851,10179,11250,Yes,52.50%,7953,37%,3091,14.42%,iso1:us#iso2:us-il#fips:17061,greene-county-illinois-us,"Greene County, Illinois, United States",county,0.0,Greene County,Illinois,United States,39.36,-90.39,12969,0.0,America/Chicago,329.0,17.0,0.0,0.0,5072.0,0.0,0.0,0.0,0.0,0.0
339,37079,North Carolina,Greene County,21429,11623,9806,6777,5864,5328,4851,10179,11250,Yes,52.50%,7953,37%,3091,14.42%,iso1:us#iso2:us-in#fips:18055,greene-county-indiana-us,"Greene County, Indiana, United States",county,0.0,Greene County,Indiana,United States,39.04,-86.96,31922,0.0,America/Indiana/Indianapolis,44.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
340,37079,North Carolina,Greene County,21429,11623,9806,6777,5864,5328,4851,10179,11250,Yes,52.50%,7953,37%,3091,14.42%,iso1:us#iso2:us-mo#fips:29077,greene-county-missouri-us,"Greene County, Missouri, United States",county,0.0,Greene County,Missouri,United States,37.26,-93.34,293086,0.0,America/Chicago,0.0,0.0,0.0,0.0,7476.0,0.0,0.0,0.0,0.0,0.0
341,37079,North Carolina,Greene County,21429,11623,9806,6777,5864,5328,4851,10179,11250,Yes,52.50%,7953,37%,3091,14.42%,iso1:us#iso2:us-ms#fips:28041,greene-county-mississippi-us,"Greene County, Mississippi, United States",county,0.0,Greene County,Mississippi,United States,31.21,-88.64,13586,0.0,America/Chicago,482.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
342,37079,North Carolina,Greene County,21429,11623,9806,6777,5864,5328,4851,10179,11250,Yes,52.50%,7953,37%,3091,14.42%,iso1:us#iso2:us-nc#fips:37079,greene-county-north-carolina-us,"Greene County, North Carolina, United States",county,0.0,Greene County,North Carolina,United States,35.49,-77.68,21069,0.0,America/New_York,966.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
343,37079,North Carolina,Greene County,21429,11623,9806,6777,5864,5328,4851,10179,11250,Yes,52.50%,7953,37%,3091,14.42%,iso1:us#iso2:us-ny#fips:36039,greene-county-new-york-us,"Greene County, New York, United States",county,0.0,Greene County,New York,United States,42.28,-74.12,47188,0.0,America/New_York,515.0,18.0,0.0,0.0,26221.0,0.0,0.0,0.0,0.0,0.0
